title,author,category,UK Key Stage,segments,char_count,word_count,sentence_count,avg_word_length,avg_sentence_length,type_token_ratio,pronoun_freq,function_words_count,punctuation_frequency,sentiment_polarity,sentiment_subjectivity,readability grades_Kincaid,readability grades_ARI,readability grades_Coleman-Liau,readability grades_FleschReadingEase,readability grades_GunningFogIndex,readability grades_LIX,readability grades_SMOGIndex,readability grades_RIX,readability grades_DaleChallIndex,sentence info_characters_per_word,sentence info_syll_per_word,sentence info_words_per_sentence,sentence info_sentences_per_paragraph,sentence info_type_token_ratio,sentence info_characters,sentence info_syllables,sentence info_words,sentence info_wordtypes,sentence info_sentences,sentence info_paragraphs,sentence info_long_words,sentence info_complex_words,sentence info_complex_words_dc,word usage_tobeverb,word usage_auxverb,word usage_conjunction,word usage_pronoun,word usage_preposition,word usage_nominalization,sentence beginnings_pronoun,sentence beginnings_interrogative,sentence beginnings_article,sentence beginnings_subordination,sentence beginnings_conjunction,sentence beginnings_preposition,NER_PERSON,NER_NORP,NER_FAC,NER_ORG,NER_GPE,NER_LOC,NER_PRODUCT,NER_EVENT,NER_WORK_OF_ART,NER_LAW,NER_LANGUAGE,EMOT_fear,EMOT_anger,EMOT_trust,EMOT_surprise,EMOT_positive,EMOT_negative,EMOT_sadness,EMOT_disgust,EMOT_joy,EMOT_anticipation
The tower treasure,Franklin W. Dixon,,Key Stage 2 (KS2),"""Well,"" he grunted, ""I hear you got the stuff back."" ""I wish we had,"" said Frank. ""What?"" said the constable, brightening up at once. ""You didn't get it? I thought it said in the paper this morning that this fellow Jackley  told where he had hidden it."" ""He did."" ""And you can't find it! Ho! Ho!"" Con Riley indulged in a hearty laugh. ""What a fine detective your father is! Didn't Jackley say the stuff was  hidden in the old tower? What more does he want?"" ""Our father didn't search for the stuff,"" retorted Frank. ""We did.",524.0,141.0,16.0,3.1560283687943262,8.8125,0.5106382978723404,0.0851063829787234,52.0,0.0839694656488549,0.1326636904761904,0.2809523809523809,35.95049504950495,46.8840594059406,6.144897009900991,17.20712871287131,42.38019801980198,110.9009900990099,15.24744871391589,10.0,11.772832673267326,3.782178217821782,1.0297029702970295,101.0,1.0,0.6633663366336634,382.0,104.0,101.0,67.0,1.0,1.0,10.0,5.0,20.0,2.0,1.0,1.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0833333333333333,0.25,0.1666666666666666,0.0,0.0,0.0833333333333333,0.0833333333333333
Les Misérables,Victor Hugo,,Key Stage 4 (KS4),"Add individual tortures to national  degradations, and, whoever you may be, you will shudder before the  frock and the veil,—those two winding-sheets of human devising. Nevertheless, at certain points and in certain places, in spite of  philosophy, in spite of progress, the spirit of the cloister persists  in the midst of the nineteenth century, and a singular ascetic  recrudescence is, at this moment, astonishing the civilized world.",438.0,81.0,2.0,4.530864197530864,40.5,0.6172839506172839,0.0246913580246913,31.0,0.0319634703196347,0.1183673469387755,0.6346938775510205,29.67117647058824,37.02044117647059,14.287433102941176,3.45029411764709,35.43529411764706,100.35294117647058,23.4939015319192,22.0,13.511064705882353,5.191176470588236,1.588235294117647,68.0,1.0,0.7058823529411765,353.0,108.0,68.0,48.0,1.0,1.0,22.0,14.0,28.0,2.0,2.0,4.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.1428571428571428,0.0714285714285714,0.0,0.2142857142857142,0.2857142857142857,0.0,0.0,0.1428571428571428,0.0714285714285714
Allan Quatermain,H. Rider Haggard,Adventure,Key Stage 5 (KS5),"Come in, my  friends; it is but a rough place, but well enough for these savage  parts; and I can tell you what, we have got—a French cook."" And he led  the way on to the veranda.",179.0,45.0,2.0,3.1333333333333333,22.5,0.8666666666666667,0.0888888888888888,22.0,0.0446927374301676,-0.0333333333333333,0.3,10.408947368421051,13.807105263157894,3.690596026315792,88.1176315789474,16.25263157894737,43.26315789473684,8.477225575051662,2.0,6.767878947368421,3.4473684210526314,0.9473684210526316,38.0,1.0,0.9210526315789472,131.0,36.0,38.0,35.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Shirley,Charlotte Brontë,,Key Stage 3 (KS3),"Malone, much chagrined at hearing him pipe up in most  superior style, determined to earn distinction too, if possible, and  all at once assuming the character of a swain (which character he had  endeavoured to enact once or twice before, but in which he had not  hitherto met with the success he doubtless opined his merits deserved),  approached a sofa on which Miss Helstone was seated, and depositing his  great Irish frame near her, tried his hand (or rather tongue) at a fine  speech or two, accompanied by grins the most extraordinary and  incomprehensible.",564.0,108.0,1.0,4.287037037037037,108.0,0.7037037037037037,0.0462962962962962,48.0,0.0248226950354609,0.35,0.5227272727272727,39.14659574468085,48.0677659574468,11.970108968085109,-18.174999999999983,44.834042553191495,115.27659574468083,25.58317958127243,20.0,12.834325531914894,4.776595744680851,1.5319148936170213,94.0,1.0,0.7659574468085106,449.0,144.0,94.0,72.0,1.0,1.0,20.0,17.0,27.0,1.0,0.0,7.0,8.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.5625,0.1875,0.0,0.0,0.0625,0.0625
The Man in the Iron Mask,Alexandre Dumas,Adventure,Key Stage 3 (KS3),"""Well, that is a capital and most consolatory coincidence, and you shall  have the benefit of our invention."" ""But how in the world can it be done?"" asked Porthos, delighted. ""Monsieur,"" said Moliere, bowing, ""if you will deign to follow me, you  will see."" Aramis observed this scene with all his eyes. Perhaps he fancied from  D'Artagnan's liveliness that he would leave with Porthos, so as not to  lose the conclusion of a scene well begun. But, clear-sighted as he was,  Aramis deceived himself.",499.0,110.0,7.0,3.809090909090909,15.714285714285714,0.6545454545454545,0.0636363636363636,46.0,0.0561122244488977,0.6,0.6,33.866279069767444,42.600697674418605,10.109376279069767,5.43337209302328,39.51627906976745,108.09302325581396,21.16590212458495,19.0,12.675820930232558,4.465116279069767,1.3488372093023255,86.0,1.0,0.7906976744186046,384.0,116.0,86.0,68.0,1.0,1.0,19.0,11.0,26.0,3.0,5.0,4.0,14.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.1666666666666666,0.1111111111111111,0.0555555555555555,0.0555555555555555,0.1111111111111111
Men of Iron,Howard Pyle,Fantasy,Key Stage 2 (KS2),The first stroke had been given that was to break in pieces his boyhood  life--the second was soon to follow. CHAPTER 21    There are now and then times in the life of every one when new and  strange things occur with such rapidity that one has hardly time to  catch one's breath between the happenings. It is as though the old were  crumbling away--breaking in pieces--to give place to the new that is  soon to take its place. So it was with Myles Falworth about this time.,474.0,98.0,4.0,3.877551020408163,24.5,0.6836734693877551,0.0,47.0,0.0232067510548523,0.0351325757575757,0.3292613636363636,32.80954545454546,42.641022727272734,8.919160147727276,16.5718181818182,37.47272727272728,100.5,15.24744871391589,11.0,10.872209090909092,4.261363636363637,1.193181818181818,88.0,1.0,0.75,375.0,105.0,88.0,66.0,1.0,1.0,11.0,5.0,16.0,8.0,0.0,2.0,8.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.2222222222222222
The Return of the Native,Thomas Hardy,,Key Stage 4 (KS4),"Well, I think I must turn homeward again, as the inn  must not be left long in charge of the lad and the maid only."" He went his way, his farewell being scarcely so courteous as his  greeting. But Mrs. Yeobright knew him thoroughly by this time, and took  little notice of his manner, good or bad. When Wildeve was gone Mrs. Yeobright stood and considered what would be  the best course to adopt with regard to the guineas, which she had not  liked to entrust to Wildeve.",471.0,99.0,4.0,3.8383838383838382,24.75,0.7070707070707071,0.0505050505050505,44.0,0.0276008492569002,0.1180555555555555,0.5851851851851851,32.13909090909091,42.159318181818186,8.31781175,21.37863636363637,37.47272727272728,102.77272727272728,15.24744871391589,13.0,11.410504545454543,4.159090909090909,1.1363636363636365,88.0,1.0,0.7613636363636364,366.0,100.0,88.0,67.0,1.0,1.0,13.0,5.0,19.0,4.0,3.0,5.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0555555555555555,0.1111111111111111,0.1111111111111111,0.1666666666666666,0.1111111111111111,0.1111111111111111,0.0555555555555555,0.0555555555555555,0.1666666666666666
Villette,Charlotte Brontë,,Key Stage 2 (KS2),"I used  to notice that if I withdrew to my room, she would speedily come  trotting after me, and opening the door and peeping in, say, with her  little peremptory accent,—""Come down. Why do you sit here by yourself? You must come into the parlour."" In the same spirit she urged me now—""Leave the Rue Fossette,"" she said,  ""and come and live with us. Papa would give you far more than Madame  Beck gives you.""",408.0,96.0,5.0,3.489583333333333,19.2,0.6875,0.1354166666666666,40.0,0.0441176470588235,0.0655513468013467,0.4856481481481481,27.92571428571429,35.97116883116883,7.410711311688313,31.994285714285752,32.35844155844156,88.68831168831169,12.486832980505138,9.0,10.326609090909091,4.012987012987013,1.1428571428571428,77.0,1.0,0.7792207792207793,309.0,88.0,77.0,60.0,1.0,1.0,9.0,3.0,14.0,0.0,3.0,4.0,16.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
The tower treasure,Franklin W. Dixon,,Key Stage 2 (KS2),"Iola  and I were over to see the Robinson girls last night and they told us  about it. Smuff should be back by now."" ""Well, can you beat that!"" exclaimed Frank. ""I wonder what's the big  idea of arresting him again?"" ""It seems the chief has an idea that Mr. Robinson was in league with  this man Jackley, the man your father got the confession from. He told  Mrs. Robinson last night that he was sure Mr. Robinson had the stuff  hidden somewhere and that he was going to find out.",480.0,107.0,7.0,3.644859813084112,15.285714285714286,0.6915887850467289,0.0841121495327102,48.0,0.0395833333333333,0.0555555555555555,0.2425925925925925,33.372608695652175,43.25641304347827,7.2052648586956565,19.65934782608697,38.53913043478261,101.78260869565216,13.954451150103322,9.0,11.289047826086955,3.967391304347826,1.108695652173913,92.0,1.0,0.7391304347826086,365.0,102.0,92.0,68.0,1.0,1.0,9.0,4.0,18.0,5.0,2.0,3.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.125,0.25,0.125,0.0,0.0,0.125
"Sketches by Boz, Illustrative of Every-Day Life and Every-Day People",Charles Dickens,,Key Stage 5 (KS5),"The Penitentiary is a noble building, no doubt,  and the sportive youths who 'go in' at that particular part of the  river, on a summer's evening, may be all very well in perspective; but  when you are obliged to keep in shore coming home, and the young ladies  will colour up, and look perseveringly the other way, while the married  dittos cough slightly, and stare very hard at the water, you feel  awkward—especially if you happen to have been attempting the most  distant approach to sentimentality, for an hour or two previously.",535.0,106.0,1.0,4.122641509433962,106.0,0.7452830188679245,0.0283018867924528,49.0,0.02803738317757,0.0799242424242424,0.4041666666666667,37.891276595744685,46.66478723404256,10.218663989361705,-9.174999999999985,41.42978723404256,112.08510638297872,19.431676725154983,17.0,11.658474468085108,4.47872340425532,1.425531914893617,94.0,1.0,0.8085106382978723,421.0,134.0,94.0,76.0,1.0,1.0,17.0,9.0,20.0,4.0,2.0,6.0,4.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.125,0.0625,0.25,0.125,0.0625,0.0625,0.0625,0.1875
Emma,Jane Austen,,Key Stage 4 (KS4),"At present, there was nothing to be done for  Harriet; good wishes for the future were all that could yet be possible  on Emma's side. It was a more pressing concern to shew attention to Jane Fairfax, whose  prospects were closing, while Harriet's opened, and whose engagements  now allowed of no delay in any one at Highbury, who wished to shew her  kindness—and with Emma it was grown into a first wish.",405.0,82.0,2.0,4.012195121951219,41.0,0.7682926829268293,0.0121951219512195,36.0,0.0246913580246913,0.2416666666666666,0.4263888888888889,29.236,36.0404,8.735267173333337,19.038000000000025,32.66666666666667,95.0,15.24744871391589,15.0,12.198766666666666,4.24,1.32,75.0,1.0,0.8,318.0,99.0,75.0,60.0,1.0,1.0,15.0,5.0,23.0,7.0,1.0,3.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.125,0.125,0.1875,0.0625,0.0625,0.0625,0.125,0.125
Lady Chatterley's lover,D. H. Lawrence,,Key Stage 2 (KS2),"It had a beautiful alley of yew trees, that had  approached an older house, and the hall stood serenely spread out,  winking its Georgian panes as if cheerfully. Behind, there were really  beautiful gardens. Connie liked the interior much better than Wragby. It was much  lighter, more alive, shapen and elegant. The rooms were panelled with  creamy-painted panelling, the ceilings were touched with gilt, and  everything was kept in exquisite order, all the appointments were  perfect, regardless of expense.",509.0,94.0,5.0,4.51063829787234,18.8,0.7021276595744681,0.0,34.0,0.0314341846758349,0.4888888888888889,0.7027777777777778,34.04025316455696,42.4546835443038,14.265927379746838,-8.281645569620238,38.68860759493671,106.84810126582278,23.4939015319192,22.0,13.35122911392405,5.177215189873418,1.5949367088607596,79.0,1.0,0.810126582278481,409.0,126.0,79.0,64.0,1.0,1.0,22.0,14.0,29.0,6.0,0.0,3.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.3333333333333333,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.2857142857142857,0.0952380952380952
